1 "HACL*~fe-64" 366 1 (a)
2 "sandy2x" 480 1 (v)
3 "amd64-64" 452 1 (a)
4 "amd64-51" 421 1 (a)
5 "donna-c64" 451 1 (c)
6 "OpenSSL" 420 1 (c)
7 "OpenSSL fe-51" 420 3 (a)
8 "OpenSSL fe-51" 398 2 (a)
9 "OpenSSL fe-64" 412 3 (a)
10 "OpenSSL fe-64" 392 2 (a)
